X,Y,LINEA,QUADRO,RECNO,PALO,ARMATURA,LAMPADA,indirizzo,Data_Attiv
18.193863185140323,40.467502407932521,A,50,36,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Viale Eolo,
18.193529547416624,40.467553371516694,A,50,37,Palo Vetroresina 11,Nova,Sodio AP 250,Viale Eolo,
18.193530486358039,40.467526318465652,A,50,38,Palo Vetroresina 11,Nova,Sodio AP 250,Viale Eolo,
18.193151009759436,40.467558308288247,A,50,39,Palo Vetroresina 11,Nova,Sodio AP 250,Viale Eolo,
18.193150752457125,40.467539801790899,A,50,40,Palo Vetroresina 11,Nova,Sodio AP 250,Viale Eolo,
18.192757856385441,40.467567482218151,A,50,41,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Viale Eolo,
18.192758307887406,40.467547483371582,A,50,42,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Viale Eolo,
18.192396445943725,40.467574304528512,A,50,43,Palo Vetroresina 11,Nova,Sodio AP 250,Viale Eolo,
18.192395551646879,40.46755543514471,A,50,44,Palo Vetroresina 11,Nova,Sodio AP 250,Viale Eolo,
18.191939656958066,40.467574685866659,A,50,45,Palo Vetroresina 11,M 250 / R,Sodio AP 150,Viale Eolo,
18.191585837222082,40.467574342237214,A,50,47,Palo Vetroresina 11,M 250 / R,Sodio AP 150,Viale Eolo,
18.191585619057747,40.467555210614549,A,50,48,Palo Vetroresina 11,M 250 / R,Sodio AP 150,Viale Eolo,
18.191194198753116,40.46757255914315,A,50,49,Palo Vetroresina 11,M 250 / R,Sodio AP 150,Viale Eolo,
18.191938330057045,40.467556464548508,A,50,46,Palo Vetroresina 11,M 250 / R,Sodio AP 150,Viale Eolo,
18.191196547419178,40.467551253760533,A,50,50,Palo Vetroresina 11,M 250 / R,Sodio AP 150,Viale Eolo,
18.19068581206497,40.467567900976526,A,50,51,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Viale Eolo,
18.190684587654655,40.467547826920821,A,50,52,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Viale Eolo,
18.190195530500056,40.467563664083919,A,50,53,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Viale Eolo,
18.189690937826402,40.467559930805542,A,50,55,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Viale Eolo,
18.189690601506388,40.467540058430643,A,50,56,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Viale Eolo,
18.19019550541568,40.467544590983131,A,50,54,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Viale Eolo,
18.192834857076299,40.467207239213351,A,50,58,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Faggio,
18.192161975401373,40.467368031804824,A,50,59,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Delle Mimose,
18.19215669804419,40.466985734987119,A,50,60,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Delle Mimose,
18.192147097953768,40.46664768564974,A,50,61,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Delle Mimose,
18.191450304819604,40.46738770225663,A,50,63,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Bambu,
18.191448511510398,40.467078855760015,A,50,64,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Bambu,
18.192130622637844,40.46630002012126,A,50,62,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Delle Mimose,
18.191433199534064,40.466755673524233,A,50,65,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Del Bambu,
18.191427315097854,40.466495971192003,A,50,66,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Del Bambu,
18.191410648304242,40.465706131585478,A,49,1,Palo Rastremato Zincato 11,Nova,Sodio AP 100,Via Del Bambu,
